NUM_MUTATION	tool	RMSE_mean	MS_mean
100	CLEMENT_decision	0.22	82.89 (108.9-117.2% ↑)
100	pyclonevi	2.02	71.39
100	quantumclone	1.68	76.11
100	sciclone	2.03	70.72
500	CLEMENT_decision	0.38	83.97 (106.6-125.2% ↑)
500	pyclonevi	1.83	74.72
500	quantumclone	1.43	78.79
500	sciclone	1.87	67.09
1000	CLEMENT_decision	0.26	82.77 (108.3-126.8% ↑)
1000	pyclonevi	1.7	72.78
1000	quantumclone	1.47	76.44
1000	sciclone	1.71	65.28
